,titulo,artista,letras
0,Só Pra Castigar,Wesley Safadão," Caça briga à toa. E adora passar raiva, nunca vi. Eu queria te entender, na boa. Faz o que quer e o que não quer de mim. Até em assunto nada a ver. Você quer me provocar. Quer me fazer ciúmes de graça. É, eu não sou de retrucar. Mas eu vou descontar. Naquilo que você mais gosta. Hoje, cê vai sentir na pele o que é que é passar raiva. Vou dar o meu melhor na cama, de pirraça. Quando cê for virar o olho, eu vou parar. Só pra castigar. Hoje, não sobra cabelo arrumado na cabeça. No rumo do seu quarto, hoje ranco a telha. Quando cê for virar o olho, eu vou parar. Só pra castigar. Até em assunto nada a ver. Você quer me provocar. Quer me fazer ciúmes de graça. É, eu não sou de retrucar. Mas eu vou descontar. Naquilo que você mais gosta. Hoje, cê vai sentir na pele o que é que é passar raiva. Vou dar o meu melhor na cama, de pirraça. Quando cê for virar o olho, eu vou parar. Só pra castigar. Hoje, não sobra cabelo arrumado na cabeça. No rumo do seu quarto, hoje ranco a telha. Quando cê for virar o olho, eu vou parar. Só pra castigar. Só pra castigar.  "
1,Juramento do Dedinho,Mano Walter," Ela só quer encontrar um coração partido. E também já tenha sofrido por amor. Vou oferecer o que restou do meu peito pra ela. Juntar a minha tampa com a panela dela temperar a nossa vida. Ainda mais sabor. Eu tenho um abraço pra te dar. Cê quer que eu leve aí ou você vem aqui buscar. Te prometo não te prometer nada. Não tem sentido te dar casa, comida, e roupa lavada. Se faltar amor, se faltar amor. Vamos fazer o juramento do dedinho. Juntar o meu mindinho com o seu mindinho. Então fechou o trato tá feito. Aqui não tem assinatura a gente sela com beijo. Vamos fazer o juramento do dedinho. Juntar o meu mindinho com o seu mindinho . Então fechou o trato tá feito. Aqui não tem assinatura a gente sela com beijo. Eu tenho um abraço pra te dar. Cê quer que eu leve aí ou você vem aqui buscar. Te prometo não te prometer nada. Não tem sentido te dar casa, comida, e roupa lavada. Se faltar amor, se faltar amor. Vamos fazer o juramento do dedinho. Juntar o meu mindinho com o seu mindinho . Então fechou o trato tá feito. Aqui não tem assinatura a gente sela com beijo. Vamos fazer o juramento do dedinho. Juntar o meu mindinho com o seu mindinho . Então fechou o trato tá feito. Aqui não tem assinatura a gente sela com beijo. Então fechou o trato tá feito. Aqui não tem assinatura a gente sela com beijo.  "
2,Baby Alô (Oi Nego),Jonas Esticado," Pensando bem, vocês se merecem. Mas a sua história não vai acabar bem. Pois aqui se faz, aqui se paga. Ela foi influenciada. Por causa de uma amiga (de uma amiga). E já agora eu vou ligar pra ela. Dar a notícia que ela tanto espera. Que ela tá livre como um passarinho. Pra poder ficar contigo. Baby alô. (Oi nego). Tudo bem contigo. (Tudo bem). Só liguei perguntar se foi divertido. (Divertido). Me trair. (Eu nunca te trai). Cala a boca, pois eu estava aqui. Quando ele sim. Me falou da lingerie. A que eu comprei pra ti. Tanto que eu te dei. E te confiei. Mas onde que eu errei. Sua ingrata. Como a culpa é minha. Explica, explica agora. Como a culpa é minha. Explica já, explica agora.  "
3,Acabou Acabou (Quando Eu Digo Que Acabou) (part. Wesley Safadão),Gabriel Diniz, Quem avisa amigo é. Mas eu era mais que seu amigo. Era o seu namorado. E você não deu ouvidos. Quem brinca com fogo se queima. Eu só tenho cara de besta. Você nunca me enganou. Eu fingia que eu não sabia. Mas eu tinha detalhado. Os seus passos e suas mentiras. Quem brinca com fogo se queima. Eu só tenho cara de besta. O pior é que agora. Cê tem que engolir o choro. Porque eu não te quero mais. Nem pintada de ouro. Não me diga que eu não avisei. Não foi uma nem duas nem três. Falei sério e você brincou. Mas quando digo que acabou. Acabou. E quando eu digo que acabou. Acabou.  
4,Não Deixo Não,Mano Walter," Ela me fez comprar um carro. Logo eu, que amava o meu cavalo. Ela me fez vender meu gado. Pra morar num condomínio fechado. Me deu um tênis de presente. Falou que a botina não combina mais com a gente. Mas que menina indecente. Aí não aguentei, falei o que o coração sente. Vá pro inferno com seu amor. Deixar de ser peão, de ouvir modão, meu violão. Não deixo, não. Não deixo, não. Largar o meu chapéu pra usar gel, meu Deus do céu. Não deixo, não. Não deixo, não. Deixar de ser vaqueiro, ouvir forró e ouvir modão. Não deixo, não. Não deixo, não. Largar o meu chapéu pra usar gel, meu Deus do céu. Não deixo, não. Não tem amor que vale isso, não. Ela me fez vender meu gado. Pra morar num condomínio fechado. Me deu um tênis de presente. Falou que a botina não combina mais com a gente. Mas que menina indecente. Aí não aguentei, falei o que o coração sente. Vá pro inferno com seu amor. Deixar de ser peão, de ouvir modão, meu violão. Não deixo, não. Não deixo, não. Largar o meu chapéu pra usar gel, meu Deus do céu. Não deixo, não. Não deixo, não. Deixar de ser vaqueiro, ouvir forró e ouvir modão. Não deixo, não. Não deixo, não. Largar o meu chapéu pra usar gel, meu Deus do céu. Não deixo, não. Não tem amor que vale isso, não. Ela me fez comprar um carro. Logo eu, que amava o meu cavalo.  "
5,Romance Com Safadeza (part. Anitta),Wesley Safadão," Que eu te amo, muita gente sabe. Já dei prova em forma de buquê. Quem olha pra mim, não vê maldade. Maldade só na hora do prazer. E daí se você é gostosa. Se você sobe e desce na festa. Se você tá virando tequila, não me interessa. Sabe por que eu não te largo. Cê faz gostoso e ainda põe leite condensado. Sabe por que você não me deixa. É que eu misturo romance com safadeza. Sabe por que eu não te largo. Cê faz gostoso e ainda põe leite condensado. Sabe por que cê não me deixa. É que eu misturo romance com safadeza. Vai, me beija. Pede, eu faço. A gente balançando o quarto. Vai, me beija. Pede, eu faço. A gente balançando o quarto. E que eu te amo, muita gente sabe. Eu já dei prova em forma de buquê. Quem olha pra mim, não vê maldade. Maldade só na hora do prazer. E daí se você é gostosa. Se você sobe e desce na festa. Se você tá virando tequila, não me interessa. Sabe por que eu não te largo. Cê faz gostoso e ainda põe leite condensado. Sabe por que você não me deixa. É que eu misturo romance com safadeza. Sabe por que eu não te largo. Cê faz gostoso e ainda põe leite condensado. Sabe por que você não me deixa. É que eu misturo romance com safadeza. Vai, me beija. Pede, eu faço. A gente balançando o quarto. Então vai, me beija. Pede, eu faço. A gente balançando o quarto. Vai, me beija. Pede, eu faço. A gente balançando o quarto. Vai, me beija. Pede, eu faço. A gente balançando o quarto.  "
6,My Baby,Wesley Safadão," Hello my baby, to te ligando para poder convidar. Vamos sair pra tomar uma lá no bar. Afogar as mágoas e depois se embriagar. Sim, e depois. Ah, sei lá, uma suíte para poder relaxar. Cama redonda para poder namorar. Porque essa noite vai ser nossa. Tá, mas primeiro. Me leve pra dançar, me chame pra namorar. Sacode o meu corpo saliente. Me leve pra dançar, me chame pra namorar. Serei o seu amor eternamente. Hello my baby, to te ligando para poder convidar. Vamos sair pra tomar uma lá no bar. Afogar as mágoas e depois se embriagar. Sim, e depois. Ah, sei lá, uma suíte para poder relaxar. Cama redonda para poder namorar. Porque essa noite vai ser nossa. Tá, mas primeiro. Me leve pra dançar, me chame pra namorar. Sacode o meu corpo saliente. Me leve pra dançar, me chame pra namorar. Serei o seu amor eternamente. Me leve pra dançar, me chame pra namorar. Sacode o meu corpo saliente.  "
7,Filho do Mato,Saia Rodada," Pensando bem, meu bem. A gente não tem nada a ver. Você é princesa, e trás tanta beleza. E eu não sei por quê. Você me dá atenção. Então escuta o que eu vou te dizer. Eu sou filho do mato. Eu venho da roça. O meu pai foi vaqueiro. Minhas mãos é grossas. Eu não sou doutor. Tão pouco engenheiro. Não tenho dinheiro. Só trago comigo meu cavalo ligeiro. Ela escorou no meu peito. E disse Vaqueiro, o meu pai é doutor. Advogado e engenheiro. Ele é fazendeiro, eu não quero dinheiro. Eu só quero é você, só quero é você, eu só quero você.  "
8,Ar Condicionado No 15,Wesley Safadão," Cinco dias, uma hora, dez minutos. Que eu não te vejo. O relógio conta as horas. Enquanto eu conto nos dedos. Todos os beijos que eu não te dei. A saudade acumulando, acumulando e eu já nem sei. Até que ponto eu vou aguentar. Eu tô ficando louco só de imaginar. E já pensou. O ar condicionado no 15 e a gente suando. A TV no volume mais alto e a gente se amando. O que é que cê tá esperando. E já pensou. O ar condicionado no 15 e a gente suando. A TV no volume mais alto e a gente se amando. O que é que cê tá esperando. Um dia sem você parece um ano.  "
9,Inquilina,Aviões do Forró," Você morava no meu coração. E, o tempo todo, a chave estava em suas mãos. Pra entrar e sair quando quiser. E fazer o que der e vier. Você foi despejada do meu coração. Vá morar no beco da decepção. Você foi, na minha vida. A pior inquilina. Você foi, na minha vida. A pior inquilina. Você morava no meu coração. E, o tempo todo, a chave estava em suas mãos. Pra entrar e sair quando quiser. E fazer o que der e vier. Você foi despejada do meu coração. Vá morar no beco da decepção. Você foi, na minha vida. A pior inquilina. Você foi, na minha vida. A pior inquilina. Você foi despejada do meu coração. Vá morar no beco da decepção. Você foi, na minha vida. A pior inquilina. Você foi, na minha vida. A pior inquilina. Você foi, você foi, na minha vida. A pior inquilina. Você foi, na minha vida. A pior inquilina.  "
10,18 Quilates,Joelma," Não quero muita coisa. Nem espero muito de você. Uma hora por semana. Parece pouco, mas é muito pra quem ama. Eu não vou te algemar pelo dedo anelar. Se bem que ficaria lindo 18 quilates na sua mão esquerda. Só por hoje se não for pedir muito. De você, eu só quero uma rodada de belos sorrisos. Uma porção extra de muito carinho. Uma dose de desejo pra me acompanhar. Se quiser, ir pra quatro paredes pode incluir no pedido. A gente mistura suor com gemido. E claro, tudo isso se você aceitar. 18 quilates na sua mão esquerda em cima do altar. Eu não vou te algemar pelo dedo anelar. Se bem que ficaria lindo 18 quilates na sua mão esquerda. Só por hoje se não for pedir muito. De você, eu só quero uma rodada de belos sorrisos. Uma porção extra de muito carinho. Uma dose de desejo pra me acompanhar. Se quiser, ir pra quatro paredes pode incluir no pedido. A gente mistura suor com gemido. E claro, tudo isso se você aceitar. De você, eu só quero uma rodada de belos sorrisos. Uma porção extra de muito carinho. Uma dose de desejo pra me acompanhar. Se quiser, ir pra quatro paredes pode incluir no pedido. A gente mistura suor com gemido. E claro, tudo isso se você aceitar. 18 quilates na sua mão esquerda em cima do altar. 18 quilates na sua mão esquerda em cima do altar.  "
11,Sortudo,Wesley Safadão," Um olhar que domina quem vê. Uma boca que o mundo quer ter. Um shortinho que só usa quem pode. Quem tá com ela tá com sorte. Quem tá com ela tá com sorte. Ela não perde uma baladinha. Também não perde a linha. Cansou de aventurinha. Agora tem alguém só pra chamar de seu. Adivinha quem é adivinha quem é. O sortudo sou eu. Pode olhar, mas essa boca aí é minha. Pode olhar, mas esse corpinho é meu. É o tudo que faltava na minha vida. E da cama ao coração seu dono sou eu.  "
12,Xote dos Milagres,Falamansa," Escrevi seu nome na areia. O sangue que corre em mim sai da tua veia. Veja só, você é a única que não me dá valor. Então por que será que este valor é o que eu ainda quero ter. Tenho tudo nas mãos, mas não tenho nada. Então melhor ter nada e lutar pelo que eu quiser. Ê, mas pera aê. Ouça o forró tocando e muita gente aê. Não é hora pra chorar. Porém não é pecado se eu falar de amor. Se eu canto sentimento seja ele qual for. Me leva onde eu quero ir. Se quiser também pode vir. Escuta o meu coração. Que bate no compasso da zabumba de paixão. Ê pra surdo ouvir, pra cego ver. Que este xote faz milagre acontecer. Ê pra surdo ouvir, pra cego ver. Que este xote faz milagre acontecer. Ê pra surdo ouvir, pra cego ver. Que este xote faz milagre acontecer. Ê pra surdo ouvir, pra cego ver. Falamansa faz milagre acontecer.  "
13,Jennifer,Gabriel Diniz," Mas ela veio me xingando. Enchendo o saco, perguntando. Quem é essa perua aí. Mas peraí, mas peraí. Você não paga as minhas contas. Já não é da sua conta. O que é que eu tô fazendo aqui. Mas peraí, vou te explicar. O nome dela é Jennifer. Eu encontrei ela no Tinder. E não é minha namorada. Mas poderia ser. O nome dela é Jennifer. Eu encontrei ela no Tinder. Mas ela faz umas paradas. O que eu não faço com você. Mas ela veio me xingando. Enchendo o saco, perguntando. Quem é essa perua aí. Mas peraí, mas peraí. Você não paga as minhas contas. Já não é da sua conta. O que é que eu tô fazendo aqui. Mas mesmo assim vou te explicar. O nome dela é Jennifer. Eu encontrei ela no Tinder. E não é minha namorada. Mas poderia ser. O nome dela é Jennifer. Eu encontrei ela no Tinder. Mas ela faz umas paradas. O que eu não faço com você. O nome dela é Jennifer. Eu encontrei ela no Tinder. E não é minha namorada. Mas poderia ser. O nome dela é Jennifer. Eu encontrei ela no Tinder. Mas ela faz umas paradas. O que eu não faço com você.  "
14,Amor Ex Amor,Wesley Safadão," Cê não ta entendendo. Minha saudade não é de você. É de alguém que você já foi. Você mudou demais. Olha quanta diferença. Entre o seu antes e o seu depois. Do que adianta ter um coração de multidão e viver só. Demorou pra perceber que eu era o seu melhor. Eu era o seu melhor. Meu amor ex amor. Até te esperei, mas você demorou. Deixou alguém cuidar do que cê não cuidou. Não era amor se não tem mais a gente. Meu amor ex amor. Até te esperei, mas você demorou. Deixou alguém cuidar do que cê não cuidou. Você pediu pra me perder pra sempre.  "
15,"Oh, Chuva",Falamansa, Você que tem medo de chuva. Você não é nem de papel. Muito menos feito de açúcar. Ou algo parecido com mel. Experimente tomar banho de chuva. E conhecer a energia do céu. A energia dessa água sagrada. Nos abençoa da cabeça aos pés. Oh chuva. Eu peço que caia devagar. Só molhe esse povo de alegria. Para nunca mais chorar. Oh chuva. Eu peço que caia devagar. Só molhe esse povo de alegria. Para nunca mais chorar.  
