,titulo,artista,letras
0,O Bebê (part. MC Kekel),Kevinho," Alô. Por que você não me atendeu. Já tava mó preocupadão. O seu pivete quase morre do coração. Amor. Já fiz o corre pra te ver. Juntei a grana da passagem. Contando as horas pra gente matar a saudade. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Antes de você eu era do mundão. Gratidão, minha princesa. Mudou minha cabeça, só me fez crescer. Bota fé no que eu vou dizer. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Ô, bebê, gosto mais de você. Do que, do que, do que. Alô. Por que você não me atendeu. Já tava mó preocupadão. O seu pivete quase morre do coração. Amor. Já fiz o corre pra te ver. Juntei a grana da passagem. Contando as horas pra gente matar a saudade. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Antes de você eu era do mundão. Gratidão, minha princesa. Mudou minha cabeça, só me fez crescer. Bota fé no que eu vou dizer. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. Ô, bebê, gosto mais de você. Do que de mim, do que de mim. E eu gosto mais de você. Ô, meu bebê.  "
1,A Distância Tá Maltratando (part. MC G15),MC Bruninho," Como é que tá aí. Já se acostumou com a cidade nova. Quando é que vem aqui. Eu tô contando as horas pra te ter de volta. A distância tá maltratando. Eu sei que fortalece a nossa relação. Mas eu não tô mais aguentando. Se de avião tá caro, eu vou de busão. É tudo diferente. Você no Norte e eu no Sul. Um céu é cinza, o outro azul. Mas a saudade é exatamente igual. Dói em São Paulo, dói em Natal. Você no Norte e eu no Sul. Um céu é cinza, o outro azul. Mas a saudade é exatamente igual. Dói em São Paulo, dói em Natal. Ai, ai, ai, ai. Ai, ai, ai, ai. Ai, ai, ai, ai. Dói em São Paulo, dói em Natal. Ai, ai, ai, ai. Ai, ai, ai, ai. Ai, ai, ai, ai. Como é que está aí. Já se acostumou com a cidade nova. Quando é que vem aqui. Eu tô contando as horas pra te ter de volta. A distância tá maltratando. Eu sei que fortalece a nossa relação. Mas eu não tô mais aguentando. Se de avião tá caro, eu vou de busão. É tudo diferente. Você no Norte e eu no Sul. Um céu é cinza, o outro azul. Mas a saudade é exatamente igual. Dói em São Paulo, dói em Natal. Você no Norte e eu no Sul. Um céu é cinza, o outro azul. Mas a saudade é exatamente igual. Dói em São Paulo, dói em Natal. Ai, ai, ai, ai. Ai, ai, ai, ai. Ai, ai, ai, ai. Dói em São Paulo, dói em Natal. Ai, ai, ai, ai. Ai, ai, ai, ai. Ai, ai, ai, ai. Dói em São Paulo, dói em Natal.  "
2,Mete Com Força e Com Talento,MC Nick," Mete com força e com talento. Estou ofegante e você percebendo. Bate e maltrata essa puta safada. Quero jatada de leite na cara. Mas calma aí não goza agora. Quero você socando minha xota. Bota que bota, bota que bota, bota que bota. Bota, bota, bota, bota. Quando eu gozar você goza . Soca na minha buceta vai. Soca na minha buceta vai . Soca na minha buceta vai . Bota a calcinha de lado gemendo teu vulgo la na minha treta. Soca na minha buceta vai . Soca na minha buceta vai . Soca na minha buceta vai.  "
3,Sou Favela (part. Vitinho Ferrari),MC Bruninho," Rodo becos e viela. Mas não encontrei ninguém que tenha a beleza dela. Sou do morro, sou favela. Mas meu coração se apaixonou por essa Cinderela. Ela é da Zona Sul, loirinha, de olho azul. E o impasse é o pai dela. Só porque eu sou neguin, moro num barraquin. Mas dei a chave do meu coração pra ela. Hoje ela vem me ver. E eu vou bater uma real pra ela. Hoje ela vem me ver. E eu vou bater uma real pra ela. Fala pro teu pai que eu não quero dinheiro. Eu já tenho a riqueza que é você. Se quiser casar, eu caso. Vamos brincar de amar, somente eu e você. Fala pro teu pai que eu não quero dinheiro. Eu já tenho a riqueza que é você. Se quiser casar, eu caso. Vamos brincar, somente eu e você. Rodo becos e vielas. E não encontrei ninguém que tenha a beleza dela. Sou do morro, sou favela. Mas meu coração se apaixonou por essa Cinderela. Ela é da Zona Sul, loirinha, de olho azul. E o impasse é o pai dela. Só porque eu sou neguin, moro num barraquin. Mas dei a chave do meu coração pra ela. Hoje ela vem me ver. Eu vou bater uma real pra ela. Hoje ela vem me ver. Eu vou bater uma real pra ela. Fala pro teu pai que eu não quero dinheiro. Eu já tenho a riqueza que é você. Se quiser casar, eu caso. Vamos brincar de amar, somente eu e você. Fala pro teu pai que eu não quero dinheiro. Eu já tenho a riqueza que é você. Se quiser casar, eu caso. Vamos brincar de amar, somente eu e você.  "
4,Amor de Verdade (part. MC Kekel),MC Rita," Espera aí. Preciso tanto conversar. Então, vem aqui. Pra gente se entender, sei lá. O seu olhar se desencontrou do meu. Meu coração tá tão longe do seu. Eu tô querendo novamente te ver. Pra, hoje em dia, eu falar pra você. Que a indecisão apertou no coração. Aquele aperto se é sim ou não. Só de pensar um dia te perder. Fiz essa canção pra você não me esquecer. Olha pra mim, deixa eu olhar pra você. Vem mais perto, que hoje eu vou te dizer. Me abraça e o seu corpo ao meu. O seu peito nunca me esqueceu. Na vida podem existir milhares. Mas nenhuma vai ser como você. Que, comigo, o amor foi de verdade. Que fez a minha vida acontecer. Eu troco a estrela por um beijo seu. Eu troco aquela lua pelo seu olhar. Eu deixo de viver meu paraíso. Minha verdade é você, meu lar. Na vida podem existir milhares. Mas nenhum vai ser como você. Que, comigo, o amor foi de verdade. Que fez a minha vida acontecer. Eu troco a estrela por um beijo seu. Troco aquela lua pelo seu olhar. Eu deixo de viver no paraíso. Minha verdade é você, meu lar.  "
5,Vou Buscar,MC Hariel," Tô distante de perreco há mó tempão. Os tratante quer me derrubar. Montei meu castelo na dignidade. Falsidade não vai abalar. Vivendo e aprendendo nessa louca vida. Eu não tô de touca e não vou ficar. Parado na sombra como um parasita. Esperando meu lugar ao Sol chegar. Eu vou buscar a F800 e a Mercedes, vou buscar. Se a versatilidade nos permite opinar. A preta, a vermelha, a marrom, eu vou comprar. Só pra começar a brincar. Eu vou buscar a F800 e a tal GLA. Se a versatilidade nos permite opinar. A preta, a vermelha, a marrom, eu vou comprar. Só pra começar a brincar. É que têm vários que testa sua febre pagando de bom companheiro. Esperando a chance de jogar areia nos seus olhos. Fica ligado em quem toca sua mão e quem você chama de parceiro. E o Diabo chega como um bom sócio. Tô di, de per, mó tempão. Os tra, quer me derru, e quer me derrubar. Montei meu castelo na dignidade. Falsidade não vai abalar. Vivendo e aprendendo nessa louca vida. Eu não tô de touca e não vou ficar. Parado na sombra tipo um parasita. Esperando meu lugar ao Sol chegar. Vou buscar, e aê, Nenê, eu vou buscar. E quem vem comigo pode pá. Quem for firmeza, pode encostar que eu vou buscar. Eu vou buscar, eu vou buscar. Eu vou buscar a F800 e a Mercedes, vou buscar. Se a versatilidade nos permite opinar. A preta, a vermelha, a marrom, eu vou comprar. Só pra começar a brincar. Eu vou buscar a F800 e a tal GLA. Se a versatilidade nos permite opinar. A preta, a vermelha, a marrom, eu vou comprar. Só pra começar a brincar.  "
6,Pra Inveja é Tchau (part. MC Kevin),MC Davi," Fica o dia inteiro falando da minha vida. Criticando as minhas com. Você não, não tá me ajudando, só se complica. Fala de fulano, de ciclano mais ainda. Pros perreco é tchau. Pra inveja é tchau. Já foi, já foi. Bye, bye. Pros perreco é tchau. Pra inveja é tchau. Já foi, já foi. Pros perreco é tchau. Pra inveja é tchau. Já foi, já foi. Bye, bye. Pros perreco é tchau. Pra inveja, ta ligado né pai. Já foi, bye, bye. Fica o dia inteiro falando da minha vida. Criticando as minhas com. Você não, não tá me ajudando, só se complica. Fala de fulano, de ciclano mais ainda. Pros perreco é tchau. Pra inveja é tchau. E já foi, já foi. Pros perreco é tchau. Pra inveja é tchau. E já foi, já foi. Pros perreco é tchau. Pra inveja é tchau. E já foi, já foi. Pros perreco é tchau. Pra inveja é tchau. E já foi, já foi. Fica o dia inteiro falando da minha vida. Criticando as minhas com. Você não, não tá me ajudando, só se complica. Fala de fulano, de ciclano mais ainda. Pros perreco é tchau. Pra inveja é tchau. Já foi, já foi. Bye, bye. Pros perreco é tchau. Pra inveja é tchau. E já foi, já foi. Pros perreco é tchau. Pra inveja é tchau. Já foi, já foi. Pros perreco é tchau. Pra inveja, tá ligado né pai. Já foi, bye, bye.  "
7,Jogo do Amor,MC Bruninho," Olha aonde eu vim parar. Mais uma vez, o coração se apaixonou pela pessoa errada. Mas como eu ia imaginar. Que no lugar do coração da princesinha não existia nada. Tudo bem (tudo bem). Você tá me ensinando mesmo sem saber. E é com teu desprezo que eu vou te esquecer. Espera mais um pouco e tu vai ver. O amor que eu sinto por você. Nada disso você deve entender. O teu jogo eu sei jogar, mas nunca vou ganhar. Porque você não sabe o sentido de amar. O amor que eu sinto por você. Nada disso você deve entender. O teu jogo eu sei jogar, mas nunca vou ganhar. Porque você não sabe o sentido de amar.  "
8,Só Você (part. MC G15),Dennis DJ," Para pra pensar se a gente é acidente. Se foi por acaso que o beijo rolou. Deve ser coisa de Deus na minha frente. Porque de tantas bocas a nossa encaixou (ô Senhor, agora sim). Você nem precisa preocupar. Amores eu vivi, mas todos me levaram a você. Esse tal amor que eu nunca vi enfim chegou. Só preciso de você, só você. E dando aquela sentada. Seu bumbum me faz querer. Sem querer. Querendo te ver pelada. Só preciso de você, só você. E dando aquela sentada. Seu bumbum me faz querer sem querer. Querendo te ver pelada. Você nem precisa preocupar. Amores eu vivi, mas todos me levaram a você. Esse tal amor que eu nunca vi enfim chegou. Só preciso de você, só você. E dando aquela sentada. Seu bumbum me faz querer sem querer. Querendo te ver pelada. Só preciso de você, só você. E dando aquela sentada. Seu bumbum me faz querer sem querer. Querendo te ver pelada. Oi, vem. Vai mozão. Vai mozão, batendo o bumbum no chão. Vai mozão. Vai mozão, bumbum, bumbum no chão. Vai mozão, batendo o, vai, vai, vai. Só preciso de você, só você. E dando aquela sentada. Seu bumbum me faz querer sem querer. Querendo te ver pelada.  "
9,Sou Favela,Aldair Playboy, Rodo becos e vielas. E não encontrei ninguém. Que tenha a beleza dela. Sou do morro sou favela. Mas meu coração se apaixonou. Por essa Cinderela. Ela é da Zona Sul. Loirinha de olho azul. E o impasse é o pai dela. Só porque eu sou neguim. Moro num barraquim. Mas dei a chave do meu coração pra ela. Hoje ela vem me ver. E eu vou bater uma real pra ela. Hoje ela vem me ver. E eu vou bater uma real pra ela. Fala pro teu pai que eu não quero dinheiro. Eu já tenho uma riqueza que é você. Se quiser casar eu caso. Vamos brincar de amar somente eu e você.  
