,titulo,artista,letras
0,Pé Na Areia,Diogo Nogueira," Vamos amor. Vamos fugir, bora pra beira do mar. Vamos pra onde está fazendo mais calor. E ninguém pode nos achar. Bora viver. Você e eu agora, eu e você. Vamos pra onde tudo pode acontecer. Inclusive nada. Nada pode ser melhor do que a gente junto, nós dois. Mil ideias e uma história de amor, e o assunto é nós dois. Dois amantes namorando na beira da praia, iá iá iá. Nada pode ser melhor pra gente se amar. Pé na areia, a caipirinha, água de coco, a cervejinha. Pé na areia, água de coco, beira do mar.  "
1,Você Me Vira a Cabeça (Me Tira do Sério),Alcione, Você me vira a cabeça. Me tira do sério. Destrói os planos. Que um dia eu fiz pra mim. Me faz pensar. Porque que a vida é assim. Eu sempre vou e volto. Pros teus braços. Você não me quer. De verdade. No fundo eu sou. Sua vaidade. Eu vivo seguindo. Teus passos. Eu sempre estou presa. Em teus laços. É só você chamar. Que eu vou. Por que você. Não vai embora de vez. Por que não. Me liberta dessa paixão. Por quê. Por que você. Não diz que não me quer mais. Por que não. Deixa livre o meu coração. Mas tem que me prender. (Tem). Tem que seduzir. (Tem). Só pra me deixar. Louca por você. Só pra ter alguém. Que vive sempre ao seu dispor. Por um segundo de amor. Oh Oh Oh Oh. Mas tem que me prender. (Tem). Tem que seduzir. (Tem). Só pra me deixar. Louca por você. Só pra ter alguém. Que vive sempre ao seu dispor. Por um segundo de amor. Oh Oh Oh Oh. Você não me quer. De verdade. No fundo eu sou. Tua vaidade. Eu vivo seguindo. Teus passos. Eu sempre estou. Presa em teus laços. E é só você chamar. Que eu vou. Por que você. Não vai embora de vez. Por que você não vai embora. Por que não. Me liberta dessa paixão. Por quê. Por que você. Não diz que não me quer mais. Por que não. Deixa livre o meu coração.... Mas tem que me prender. (Tem). Tem que seduzir. (Tem). Só pra me deixar. Louca por você. Só pra ter alguém. Que vive sempre ao seu dispor. Por um segundo de amor. Oh Oh Oh Oh. Mas tem que me prender. (Tem). Tem que seduzir. (Tem). Só pra me deixar. Louca por você. Só pra ter alguém. Que vive sempre ao seu dispor. Por um segundo de amor. Oh Oh Oh Oh. Mas tem que me prender. (Tem). Tem que seduzir. (Tem). Só pra me deixar. Louca por você. Só pra ter alguém. Que vive sempre ao seu dispor. Por um segundo de amor. Oh Oh Oh Oh.  
2,Retalhos de Cetim,Benito Di Paula," Ensaiei meu samba o ano inteiro,. Comprei surdo e tamborim. Gastei tudo em fantasia,. Era só o que eu queria. E ela jurou desfilar pra mim. Minha escola estava tão bonita.. Era tudo o que eu queria ver,. Em retalhos de cetim. Eu dormi o ano inteiro. E ela jurou desfilar pra mim.. Mas chegou o carnaval,. E ela não desfilou,. Eu chorei na avenida, eu chorei.. Não pensei que mentia a cabrocha,que eu tanto amei.  "
3,Eu e Você Sempre,Jorge Aragão," Logo, logo, assim que puder, vou telefonar. Por enquanto tá doendo. E quando a saudade quiser me deixar cantar. Vão saber que andei sofrendo. E que agora longe de mim. Você possa, enfim. Ter felicidade. Nem que faça um tempo ruim. Não se sinta assim. Só pela metade. Ontem demorei pra dormir, tava assim, sei lá. Meio passional por dentro. Se eu tivesse o dom de fugir pra qualquer lugar. Ia feito um pé de vento. Sem pensar no que aconteceu. Nada, nada é meu. Nem o pensamento. Por falar em nada que é meu. Encontrei o anel. Que você esqueceu. Aí foi que o barraco desabou. Nessa que meu barco se perdeu. Nele está gravado só você e eu.  "
4,Clareou,Diogo Nogueira," A vida é pra quem sabe viver. Procure aprender a arte. Pra quando apanhar não se abater. Ganhar e perder faz parte. Levante a cabeça, amigo, a vida não é tão ruim. Um dia a gente perde. Mas nem sempre o jogo é assim. Pra tudo tem um jeito. E se não teve jeito ainda não chegou ao fim. Mantenha a fé na crença. Se a ciência não curar. Pois se não tem remédio. Então remediado está. Já é um vencedor. Quem sabe a dor de uma derrota enfrentar. E a quem Deus prometeu, nunca faltou. Na hora certa o bom Deus dará. Deus é maior. Maior é Deus, e quem tá com Ele. Nunca está só. O que seria do mundo sem Ele. Chega de chorar. Você já sofreu demais, agora chega. Chega de achar que tudo se acabou. Pode a dor uma noite durar. Mas um novo dia sempre vai raiar. E quando menos esperar, clareou. Clareou, ô, ô, ô, ô....  "
5,A Grande Família,Dudu Nobre," Esta família é muito unida. E também muito ouriçada. Brigam por qualquer razão. Mas acabam pedindo perdão.... Pirraça pai. Pirraça mãe. Pirraça filha. Eu também sou da família. Eu também quero pirraçar.... Catuca pai. Catuca mãe. Catuca filha. Eu também sou da família. Também quero catucar. Catuca pai, mãe, filha. Eu também sou da família. Também quero catucar.... Que família, heim. Esta família é muito unida. E também muito ouriçada. Brigam por qualquer razão. Mas acabam pedindo perdão.... Pirraça pai. Pirraça mãe. Pirraça filha. Eu também sou da família. Eu também quero pirraçar.... Catuca pai. Catuca mãe. Catuca filha. Eu também sou da família. Também quero catucar. Catuca pai, mãe, filha. Eu também sou da família. Também quero catucar.... Esta família é muito unida. E também muito ouriçada. Brigam por qualquer razão. Mas acabam pedindo perdão.... Pirraça pai. Pirraça mãe. Pirraça filha. Sou da famiia. Também quero pirraçar.... Catuca pai. Catuca mãe. Catuca filha. Eu também sou da família. Também quero catucar. Catuca pai, mãe, filha. Sou da família. Também quero catucar.... Êta família. Uma tem medo de barata. O outro tem medo de ladrão. A filha só pensa no namorado. Eh cumpadre ,não fala. De boca cheia na mesa....  "
6,As Rosas Não Falam,Cartola," Bate outra vez. Com esperanças o meu coração. Pois já vai terminando o verão. Enfim. Volto ao jardim. Com a certeza que devo chorar. Pois bem sei que não queres voltar. Para mim. Queixome às rosas. Mas que bobagem. As rosas não falam. Simplesmente as rosas exalam. O perfume que roubam de ti, ai. Devias vir. Para ver os meus olhos tristonhos. E, quem sabe, sonhavas meus sonhos. Por fim.  "
7,Eu Mereço Ser Feliz,Mumuzinho," O dia tava tão lindo. Fiz uma selfie sorrindo. Botei na estante. Só pra me lembrar. Que essa pessoa sou eu. Melhor presente é a vida. Melhor que a vida, não há. E se você não se ama. É que não ama ninguém. E quem vai te amar. E viva cada momento. Como se fosse acabar. Não vale a pena esperar. O tempo passando. Na velocidade. Acorda pra vida. Não pode faltar tempo. Pra felicidade. Acorda pra vida. Não deixe pra amanhã. Que pode ficar tarde. Acorda pra vida. Depois não vai chorar. No bloco da saudade. Acorda pra vida. Bate no peito, grita bem alto. Abre o sorriso, canta e diz. Eu mereço ser feliz. Eu mereço ser feliz.  "
8,O Show Tem Que Continuar,Fundo de Quintal," O teu choro já não toca meu bandolim. Diz que minha voz sufoca seu violão. Afrouxaramse as cordas e assim desafina. Que pobre das rimas da nossa canção. Hoje somos folha morta. Metais em surdina. Fechada a cortina, vazio o salão. Se os duetos não se encontram mais. E os solos perderam a emoção. Se acabou o gás. Pra cantar o mais simples refrão. Se a gente nota. Que uma só nota. Já nos esgota. O show perde a razão. Mas iremos achar o tom. Um acorde com lindo som. E fazer com que fique bom. Outra vez o nosso cantar. E a gente vai ser feliz. Olha nós outra vez no ar. O show tem que continuar. Se os duetos não se encontram mais. E os solos perderam a emoção. Se acabou o gás. Pra cantar o mais simples refrão. Se a gente nota. Que uma só nota. Já nos esgota. O show perde a razão. Mas iremos achar o tom. Um acorde com lindo som. E fazer com que fique bom. Outra vez o nosso cantar. E a gente vai ser feliz. Olha nós outra vez no ar. O show tem que continuar. Nós iremos até Paris. Arrasar no Olímpia. O show tem que continuar. Olha o povo pedindo bis. Os ingressos vão se esgotar. O show tem que continuar. Todo mundo que hoje diz. Acabou vai se admirar. O show tem que continuar.  "
9,O Mundo é Um Moinho,Cartola," Ainda é cedo, amor. Mal começaste a conhecer a vida. Já anuncias a hora de partida. Sem saber mesmo o rumo que irás tomar. Preste atenção, querida. Embora eu saiba que estás resolvida. Em cada esquina cai um pouco a tua vida. Em pouco tempo não serás mais o que és. Ouçame bem, amor. Preste atenção, o mundo é um moinho. Vai triturar teus sonhos, tão mesquinhos. Vai reduzir as ilusões a pó. Muita atenção, querida. De cada amor tu herdarás só o cinismo. Quando notares estás à beira do abismo. Abismo que cavaste com os teus pés.  "
